epoch,lr,loss,val_loss,iou,dice,recall
1.0,0.001,0.31266180707514285,0.34150858044624327,0.7348949986590353,0.8471924804982663,0.7494081398584194
2.0,0.001,0.15702943286299706,0.29453360080718993,0.7893872627611955,0.882298962543259,0.8077448634585505
3.0,0.001,0.12122745637595654,0.2625475597381592,0.8159052224295369,0.8986209328016489,0.8238440339349483
4.0,0.001,0.09976140156388283,0.21821065425872802,0.8462128301753357,0.9167012777123288,0.8744762325057207
5.0,0.001,0.09324471288174391,0.2839585494995117,0.8090049268170976,0.8944198159155851,0.8143811671253213
6.0,0.001,0.08460199064016342,0.23766960978507995,0.8334070161821973,0.9091347516686396,0.8514201195673264
7.0,0.001,0.07404009895026684,0.17690330922603606,0.8763478304742256,0.9340995483259845,0.9182497488904529
8.0,0.001,0.08092793890833855,0.17130655169487,0.8806439054927224,0.9365344528229325,0.908611047902799
9.0,0.001,0.06797249833494425,0.18131908118724824,0.8697781976355372,0.930354411807146,0.8988746612606857
10.0,0.001,0.06626474189013243,0.18223525524139406,0.8678812513206771,0.9292681220575728,0.8968778515592373
11.0,0.001,0.06435911155119538,0.10979731976985932,0.9250181916063817,0.9610487793203296,0.9517995996037687
12.0,0.001,0.060116578355431556,0.12363891780376435,0.9100203649991809,0.9528907457482088,0.9320843360478843
13.0,0.001,0.058443572465330364,0.11913122922182083,0.9122962037467485,0.9541369187046235,0.941525941862129
14.0,0.001,0.05101290616393089,0.12046629250049591,0.9163049735621569,0.9563247877594925,0.9493804431021577
15.0,0.001,0.045779775768518445,0.08189984619617462,0.9439107250439102,0.9711461672424081,0.9552168736453556
16.0,0.001,0.05077260939404368,0.10287141501903534,0.9289862360188409,0.9631859664650888,0.9479852621078795
17.0,0.001,0.05854096610844135,0.0766542461514473,0.9481414303013305,0.973380490301126,0.9623956200051242
18.0,0.001,0.046663106944411996,0.08381180882453919,0.9421851829455681,0.9702320779902331,0.9758900312364385
19.0,0.001,0.04373716728016734,0.0783326518535614,0.9475889174302811,0.9730892478897,0.9769927298888355
20.0,0.001,0.05101034515723586,0.09126501753926278,0.9379364123115812,0.9679743941575428,0.987671495785733
21.0,0.001,0.048696917504072186,0.10085593998432159,0.9295335141457457,0.9634800404669457,0.954947950784844
22.0,0.0001,0.033965268965810536,0.06844860404729843,0.9557289565911314,0.9773634054659361,0.9803301315423644
23.0,0.0001,0.03498151121288538,0.0728137181699276,0.951651121416242,0.9752266795775022,0.9780448618495123
24.0,0.0001,0.033982912737876174,0.06605153113603592,0.9577516348942614,0.978419956672373,0.9831946197040107
25.0,0.0001,0.029409104499965907,0.06569748222827912,0.956808699220285,0.9779276835814673,0.9794699231616253
26.0,0.0001,0.03053851877525449,0.07060327917337418,0.9522382869672337,0.9755348958415435,0.978753370155091
27.0,0.0001,0.026586214143782854,0.06137927636504173,0.9600268785461068,0.9796058299549669,0.9810415129554272
28.0,0.0001,0.028116363864392042,0.06280488848686218,0.9585923797272093,0.9788584798443003,0.9779517731670275
29.0,0.0001,0.030526637572795154,0.05868506848812103,0.9615282930989311,0.9803868712796896,0.9822321286968376
30.0,0.0001,0.027880633901804685,0.059816342145204544,0.961755106797581,0.9805047566488246,0.9816144105877564
31.0,0.0001,0.027064779568463565,0.05821585655212402,0.9613623291564767,0.9803005950154292,0.982533804982668
32.0,0.0001,0.025782622534781693,0.05910861894488335,0.9617465624952901,0.980500316281394,0.9855471201119905
33.0,0.0001,0.025538827516138552,0.060643820762634276,0.9602293495183095,0.9797112258871775,0.9781971365461696
34.0,0.0001,0.0246102739199996,0.06203923910856247,0.9591236151548131,0.9791353723016767,0.982648729282032
35.0,0.0001,0.025704738788306713,0.06101776227355003,0.9591275686554986,0.979137432396726,0.9825320811181775
36.0,1e-05,0.02479608486406505,0.058083740025758744,0.9618967454515636,0.9805783588576792,0.9803893175565368
37.0,1e-05,0.023052027143537997,0.05776109993457794,0.9619921215405227,0.9806279148411436,0.9814489195966724
38.0,1e-05,0.02368097871914506,0.05746180832386017,0.9623665736276961,0.9808224279407979,0.9807116802162527
39.0,1e-05,0.024053875029087065,0.05857466638088226,0.9615527370646295,0.9803995772283359,0.981013356502083
40.0,1e-05,0.02668913172185421,0.05673941031098366,0.963006070680285,0.9811544498653001,0.9827263031841026
41.0,1e-05,0.023759949315339327,0.05891025260090828,0.9619662917556535,0.9806144945485668,0.9827326240205676
42.0,1e-05,0.023405711002647878,0.057395033836364746,0.9627016253822271,0.9809964112041127,0.9831176204234368
43.0,1e-05,0.02230347352102399,0.05841878980398178,0.961926343123563,0.9805937378791544,0.9827785937403132
44.0,1e-05,0.022680788926780222,0.060196707248687746,0.960765012348169,0.9799899593246744,0.9831561200637237
45.0,1.0000000000000002e-06,0.024552212938666343,0.05977001711726189,0.9610382682127587,0.9801320900163967,0.9834020580643625
46.0,1.0000000000000002e-06,0.0254101276434958,0.057598369270563124,0.9621518731578328,0.9807109085897279,0.9823223442718383
47.0,1.0000000000000002e-06,0.024897915225476026,0.05748464465141297,0.9626903131487758,0.980990538037874,0.9819183853595741
48.0,1.0000000000000002e-06,0.023461573395878076,0.058097797334194186,0.9622329217200267,0.9807530095627593,0.983473885751465
49.0,1.0000000000000002e-07,0.023406169433146714,0.05669491097331047,0.9627759985804186,0.981035023127186,0.9820666377057535
50.0,1.0000000000000002e-07,0.02297152154147625,0.05718524903059006,0.9627789079729008,0.9810365335209604,0.9839002549021052
